turn,round,agent,action,importance,thought
37,5,Norman D'Adly,listen,6,I have a question for Dr Chelsea Barren about her complicated relationship with Robert Killingsworth and how it might be related to the threatening letters Elizabeth received.
37,5,Dr Chelsea Barren,listen,5,I wonder if Elizabeth's husband Robert was involved in her financial struggles and potential motives for wanting to acquire the farm.
37,5,Kathryn Lawless,listen,5,"I'm going over the farm's financial records and I found a discrepancy in Elizabeth's account - there was an unexplained withdrawal of $10,000 from her account just days before her disappearance."
37,5,Michael Nightshade,listen,8,"I'm trying to piece together the various clues and inconsistencies that have come up during this conversation. I think there may be a connection between Elizabeth's financial struggles and some of the discrepancies in her account, such as the unexplained withdrawal of $100,000 and the transfer of $50,000 from Robert's trust to an offshore account. I'm also wondering if Michael Nightshade's interest in acquiring the farm at a low market value might be more than just a coincidence."
37,5,Enrique Graves,listen,8,I wonder if the threatening letters and financial difficulties could be connected to Robert's business dealings or perhaps something more sinister.
38,5,Enrique Graves,listen,7,I wonder if Vicki's financial difficulties are more connected to her sister-in-law Elizabeth than they initially seemed...
38,5,Vicki D'Adly,listen,5,I'm going to take another sip from my glass and try to gather more information about Elizabeth's financial struggles and the potential motives for her murder.
38,5,Michael Nightshade,listen,7,"I wonder if Vicki's hesitation when asked about her financial difficulties might be related to the threatening messages she received from an unknown sender, and what exactly did Michael Nightshade mean by his interest in acquiring the farm at a low market value?"
38,5,Kathryn Lawless,listen,8,I'm trying to piece together the events of the day and figure out who might be behind Elizabeth's murder.
38,5,Norman D'Adly,listen,5,I've been thinking about the suspicious behavior of some of the guests and their potential motives for wanting to acquire the farm. I'm starting to wonder if there's more to this story than meets the eye.
38,5,Dr Chelsea Barren,listen,7,"I wonder if Vicki's argument with Norman might have been more than just a family disagreement, especially considering the threats she received and her potential motives for wanting to acquire the farm."
39,5,Enrique Graves,listen,6,Michael Nightshade seemed particularly interested in acquiring the farm at a low market value and I wonder if there might be more to his story than meets the eye.
39,5,Dr Chelsea Barren,listen,9,"I'm intrigued by the suspicious events unfolding at Killingsworth Farm and I wonder if there's a connection between Elizabeth's financial struggles, her argument with Vicki, and Michael Nightshade's interest in acquiring the farm."
39,5,Kathryn Lawless,listen,8,"I need to investigate Elizabeth's financial records and her husband Robert's business dealings further to see if I can find any connections between the threatening messages, the prenuptial agreement, or the insurance policy upgrade."
39,5,Vicki D'Adly,listen,5,I wonder if Vicki's argument with Norman might be connected to the threatening letters Elizabeth received and her financial struggles.
39,5,Norman D'Adly,listen,8,"I notice that several people have mentioned Vicki's financial difficulties and potential motives for wanting to acquire the farm, as well as her argument with Norman about their differing views on Robert's estate management. I also recall that Elizabeth had been receiving threatening letters from an unknown sender, which she mentioned to me earlier this morning. The discrepancy in her account and the transfer of $50,000 from her husband's trust to an offshore account earlier this year seem suspicious given these circumstances."
39,5,Michael Nightshade,listen,8,I wonder if the wine glasses being replenished so quickly could be related to a deliberate attempt to create a distraction from the true circumstances surrounding Elizabeth's murder.
40,5,Dr Chelsea Barren,listen,8,I wonder if Elizabeth's financial struggles and potential motives for wanting to acquire the farm might be connected to her husband Robert's passing or his business dealings.
40,5,Enrique Graves,listen,7,I wonder if Michael Nightshade's unusual behavior is related to his interest in acquiring the farm... Perhaps he's hiding something about his true intentions?
40,5,Kathryn Lawless,listen,8,"I've been thinking that Dr Chelsea Barren's behavior and comments seem suspicious, especially when she said 'I think I noticed' multiple times. It seems like she might be trying to manipulate the conversation or distract us from something. I'm also curious about Michael Nightshade's sudden interest in acquiring the farm and his strange behavior during the gathering."
40,5,Michael Nightshade,speak,7,I've been thinking about the conversation and all the suspicious comments made by the guests. I wonder if Michael Nightshade's interest in acquiring the farm at a low market value might be more than just coincidence. Did he ever discuss Elizabeth's financial struggles with his aunt or was it just a coincidence that she brought up the low market value?
40,5,Vicki D'Adly,listen,8,"I've been trying to piece together the events of Elizabeth's disappearance and potential murder. I think there might be a connection between Vicki's financial difficulties, Robert's business dealings, and the threatening letters she received. Maybe someone was trying to intimidate her into selling the farm or acquiring certain assets from Robert's estate? I'm curious about Michael Nightshade's interest in acquiring the farm and whether it's connected to his aunt Kathryn Lawless's involvement."
40,5,Norman D'Adly,listen,9,I'm going to analyze the conversation and see if I can find any connections between the different clues and hints that have been dropped throughout the game.
41,5,Michael Nightshade,listen,5,I wonder if Elizabeth's husband Robert had some knowledge of his wife's financial struggles and potentially shared this information with someone else.
41,5,Dr Chelsea Barren,listen,5,"The group's dynamic seems complex and suspicious. They all seem to have a stake in acquiring the farm, but I'm not sure what their true motives are. I wonder if there's more to Vicki's argument with Elizabeth than just financial difficulties."
41,5,Norman D'Adly,listen,5,I think it's suspicious that multiple people have mentioned threatening letters and financial difficulties around Elizabeth Killingsworth at the same time. It seems like they're all connected but I need more information to piece together what's really going on here.
41,5,Kathryn Lawless,listen,6,I recall that Elizabeth had mentioned to me before arriving at the farm that she was planning to reorganize her estate and possibly transfer some assets to Vicki's name. I wonder if this might be connected to the threatening messages she received recently and the argument we had earlier today about financial matters.
41,5,Enrique Graves,listen,6,"I remember that Elizabeth Killingsworth had been planning to reorganize her estate and possibly transfer some assets to Vicki's name, which might be connected to the threatening messages she received recently and the argument we had earlier today about financial matters."
41,5,Vicki D'Adly,listen,8,I'll think about the conversation so far and try to piece together what might have happened.
42,5,Norman D'Adly,listen,5,I'm going to take a closer look at the wine glasses being replenished so quickly and try to gather more information about who might be behind it.
42,5,Dr Chelsea Barren,listen,6,I'm curious about the timing of the wine glasses being replenished so quickly and how it might be related to Elizabeth's murder
42,5,Enrique Graves,listen,8,I need to review the conversation and see if I can find any connections between Elizabeth's death and the other guests' interests in acquiring the farm.
42,5,Vicki D'Adly,listen,2,I'm going to keep observing the conversation and see if I can find any connections between the guests' statements.
42,5,Michael Nightshade,listen,4,I've been thinking about the wine glasses being replenished so quickly and how it seems like someone might be trying to create a distraction from the true circumstances surrounding Elizabeth's murder.
42,5,Kathryn Lawless,listen,2,"I think I'll take some time to observe and listen carefully to the conversation, seeing if anyone mentions me by name or accuses me of something."
43,5,Enrique Graves,listen,8,"I'm trying to piece together the events of Elizabeth's death and figure out who might be involved. I've noticed that several people seemed suspicious or evasive when questioned about their whereabouts or motives. Michael Nightshade seems particularly interested in acquiring the farm, but his alibi for the time of Elizabeth's disappearance is unclear. Dr. Chelsea Barren mentioned receiving threatening letters from an unknown sender, which could be a motive for her to want to acquire the property. I also wonder if Vicki D'Adly might be involved, given her financial difficulties and argument with Elizabeth earlier today."
43,5,Dr Chelsea Barren,listen,4,I've been thinking about the wine glasses being replenished so quickly and how it might be related to Dr. Barren's sips from her glass right after mentioning the potential sale of the farm. It seems like she was trying to distract us or create a diversion.
43,5,Norman D'Adly,speak,5,"I've been going over the farm's financial records and I found an additional discrepancy in Elizabeth's account - a transfer of $50,000 from her husband Robert's trust to an offshore account earlier this year. This transfer was not mentioned during our previous conversation about Robert's business dealings."
43,5,Vicki D'Adly,listen,5,"I'm trying to remember if I noticed anything unusual around the time Elizabeth disappeared, and what was said about her financial situation during our conversation."
43,5,Michael Nightshade,listen,5,I wonder if the wine glasses being replenished so quickly could be related to a deliberate attempt to create a distraction or send a subtle message.
43,5,Kathryn Lawless,listen,5,"Interesting that Dr Barren took another sip from her glass before asking questions, seems like a subtle attempt to distract or create a diversion."
44,5,Kathryn Lawless,listen,8,I wonder if Elizabeth's argument with Vicki about her financial difficulties might be connected to the threatening messages she received recently and her decision to reorganize her estate.
44,5,Norman D'Adly,listen,5,I think I know what might be going on with the wine glasses being replenished so quickly... Maybe someone is trying to create a distraction or send a subtle message. I wonder if it's related to Elizabeth's financial struggles or something more sinister?
44,5,Dr Chelsea Barren,listen,5,I'm intrigued by the various alibis and excuses being shared. I wonder if anyone is hiding something or if they're just trying to deflect attention from their own guilt.
44,5,Enrique Graves,listen,5,I wonder if someone is trying to distract us from the main topic of conversation by constantly refilling the wine glasses
44,5,Michael Nightshade,listen,5,"I'm going to try and piece together what happened from the different conversations and clues that have been shared so far. I'll think about who might have had a motive for Elizabeth's murder, and whether any of the suspicious behavior we've observed could be connected."
44,5,Vicki D'Adly,listen,8,I wonder if the wine glasses being replenished so quickly could be related to a deliberate attempt to create a distraction from Elizabeth's murder. I also think that Michael Nightshade seemed overly interested in acquiring the farm and his behavior might be suspicious.
